,country,subregion
0,Afghanistan,Southern Asia
1,Åland Islands,Northern Europe
2,Albania,Southern Europe
3,Algeria,Northern Africa
4,American Samoa,Polynesia
5,Andorra,Southern Europe
6,Angola,Sub-Saharan Africa
7,Anguilla,Latin America and the Caribbean
8,Antarctica,
9,Antigua and Barbuda,Latin America and the Caribbean
10,Argentina,Latin America and the Caribbean
11,Armenia,Western Asia
12,Aruba,Latin America and the Caribbean
13,Australia,Australia and New Zealand
14,Austria,Western Europe
15,Azerbaijan,Western Asia
16,Bahamas,Latin America and the Caribbean
17,Bahrain,Western Asia
18,Bangladesh,Southern Asia
19,Barbados,Latin America and the Caribbean
20,Belarus,Eastern Europe
21,Belgium,Western Europe
22,Belize,Latin America and the Caribbean
23,Benin,Sub-Saharan Africa
24,Bermuda,Northern America
25,Bhutan,Southern Asia
26,Bolivia (Plurinational State of),Latin America and the Caribbean
27,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean
28,Bosnia and Herzegovina,Southern Europe
29,Botswana,Sub-Saharan Africa
30,Bouvet Island,Latin America and the Caribbean
31,Brazil,Latin America and the Caribbean
32,British Indian Ocean Territory,Sub-Saharan Africa
33,Brunei Darussalam,South-eastern Asia
34,Bulgaria,Eastern Europe
35,Burkina Faso,Sub-Saharan Africa
36,Burundi,Sub-Saharan Africa
37,Cabo Verde,Sub-Saharan Africa
38,Cambodia,South-eastern Asia
39,Cameroon,Sub-Saharan Africa
40,Canada,Northern America
41,Cayman Islands,Latin America and the Caribbean
42,Central African Republic,Sub-Saharan Africa
43,Chad,Sub-Saharan Africa
44,Chile,Latin America and the Caribbean
45,China,Eastern Asia
46,Christmas Island,Australia and New Zealand
47,Cocos (Keeling) Islands,Australia and New Zealand
48,Colombia,Latin America and the Caribbean
49,Comoros,Sub-Saharan Africa
50,Congo,Sub-Saharan Africa
51,Congo (Democratic Republic of the),Sub-Saharan Africa
52,Cook Islands,Polynesia
53,Costa Rica,Latin America and the Caribbean
54,Côte d'Ivoire,Sub-Saharan Africa
55,Croatia,Southern Europe
56,Cuba,Latin America and the Caribbean
57,Curaçao,Latin America and the Caribbean
58,Cyprus,Western Asia
59,Czechia,Eastern Europe
60,Denmark,Northern Europe
61,Djibouti,Sub-Saharan Africa
62,Dominica,Latin America and the Caribbean
63,Dominican Republic,Latin America and the Caribbean
64,Ecuador,Latin America and the Caribbean
65,Egypt,Northern Africa
66,El Salvador,Latin America and the Caribbean
67,Equatorial Guinea,Sub-Saharan Africa
68,Eritrea,Sub-Saharan Africa
69,Estonia,Northern Europe
70,Ethiopia,Sub-Saharan Africa
71,Falkland Islands (Malvinas),Latin America and the Caribbean
72,Faroe Islands,Northern Europe
73,Fiji,Melanesia
74,Finland,Northern Europe
75,France,Western Europe
76,French Guiana,Latin America and the Caribbean
77,French Polynesia,Polynesia
78,French Southern Territories,Sub-Saharan Africa
79,Gabon,Sub-Saharan Africa
80,Gambia,Sub-Saharan Africa
81,Georgia,Western Asia
82,Germany,Western Europe
83,Ghana,Sub-Saharan Africa
84,Gibraltar,Southern Europe
85,Greece,Southern Europe
86,Greenland,Northern America
87,Grenada,Latin America and the Caribbean
88,Guadeloupe,Latin America and the Caribbean
89,Guam,Micronesia
90,Guatemala,Latin America and the Caribbean
91,Guernsey,Northern Europe
92,Guinea,Sub-Saharan Africa
93,Guinea-Bissau,Sub-Saharan Africa
94,Guyana,Latin America and the Caribbean
95,Haiti,Latin America and the Caribbean
96,Heard Island and McDonald Islands,Australia and New Zealand
97,Holy See,Southern Europe
98,Honduras,Latin America and the Caribbean
99,Hong Kong,Eastern Asia
100,Hungary,Eastern Europe
101,Iceland,Northern Europe
102,India,Southern Asia
103,Indonesia,South-eastern Asia
104,Iran (Islamic Republic of),Southern Asia
105,Iraq,Western Asia
106,Ireland,Northern Europe
107,Isle of Man,Northern Europe
108,Israel,Western Asia
109,Italy,Southern Europe
110,Jamaica,Latin America and the Caribbean
111,Japan,Eastern Asia
112,Jersey,Northern Europe
113,Jordan,Western Asia
114,Kazakhstan,Central Asia
115,Kenya,Sub-Saharan Africa
116,Kiribati,Micronesia
117,Korea (Democratic People's Republic of),Eastern Asia
118,Korea (Republic of),Eastern Asia
119,Kuwait,Western Asia
120,Kyrgyzstan,Central Asia
121,Lao People's Democratic Republic,South-eastern Asia
122,Latvia,Northern Europe
123,Lebanon,Western Asia
124,Lesotho,Sub-Saharan Africa
125,Liberia,Sub-Saharan Africa
126,Libya,Northern Africa
127,Liechtenstein,Western Europe
128,Lithuania,Northern Europe
129,Luxembourg,Western Europe
130,Macao,Eastern Asia
131,Macedonia (the former Yugoslav Republic of),Southern Europe
132,Madagascar,Sub-Saharan Africa
133,Malawi,Sub-Saharan Africa
134,Malaysia,South-eastern Asia
135,Maldives,Southern Asia
136,Mali,Sub-Saharan Africa
137,Malta,Southern Europe
138,Marshall Islands,Micronesia
139,Martinique,Latin America and the Caribbean
140,Mauritania,Sub-Saharan Africa
141,Mauritius,Sub-Saharan Africa
142,Mayotte,Sub-Saharan Africa
143,Mexico,Latin America and the Caribbean
144,Micronesia (Federated States of),Micronesia
145,Moldova (Republic of),Eastern Europe
146,Monaco,Western Europe
147,Mongolia,Eastern Asia
148,Montenegro,Southern Europe
149,Montserrat,Latin America and the Caribbean
150,Morocco,Northern Africa
151,Mozambique,Sub-Saharan Africa
152,Myanmar,South-eastern Asia
153,Namibia,Sub-Saharan Africa
154,Nauru,Micronesia
155,Nepal,Southern Asia
156,Netherlands,Western Europe
157,New Caledonia,Melanesia
158,New Zealand,Australia and New Zealand
159,Nicaragua,Latin America and the Caribbean
160,Niger,Sub-Saharan Africa
161,Nigeria,Sub-Saharan Africa
162,Niue,Polynesia
163,Norfolk Island,Australia and New Zealand
164,Northern Mariana Islands,Micronesia
165,Norway,Northern Europe
166,Oman,Western Asia
167,Pakistan,Southern Asia
168,Palau,Micronesia
169,"Palestine, State of",Western Asia
170,Panama,Latin America and the Caribbean
171,Papua New Guinea,Melanesia
172,Paraguay,Latin America and the Caribbean
173,Peru,Latin America and the Caribbean
174,Philippines,South-eastern Asia
175,Pitcairn,Polynesia
176,Poland,Eastern Europe
177,Portugal,Southern Europe
178,Puerto Rico,Latin America and the Caribbean
179,Qatar,Western Asia
180,Réunion,Sub-Saharan Africa
181,Romania,Eastern Europe
182,Russian Federation,Eastern Europe
183,Rwanda,Sub-Saharan Africa
184,Saint Barthélemy,Latin America and the Caribbean
185,"Saint Helena, Ascension and Tristan da Cunha",Sub-Saharan Africa
186,Saint Kitts and Nevis,Latin America and the Caribbean
187,Saint Lucia,Latin America and the Caribbean
188,Saint Martin (French part),Latin America and the Caribbean
189,Saint Pierre and Miquelon,Northern America
190,Saint Vincent and the Grenadines,Latin America and the Caribbean
191,Samoa,Polynesia
192,San Marino,Southern Europe
193,Sao Tome and Principe,Sub-Saharan Africa
194,Saudi Arabia,Western Asia
195,Senegal,Sub-Saharan Africa
196,Serbia,Southern Europe
197,Seychelles,Sub-Saharan Africa
198,Sierra Leone,Sub-Saharan Africa
199,Singapore,South-eastern Asia
200,Sint Maarten (Dutch part),Latin America and the Caribbean
201,Slovakia,Eastern Europe
202,Slovenia,Southern Europe
203,Solomon Islands,Melanesia
204,Somalia,Sub-Saharan Africa
205,South Africa,Sub-Saharan Africa
206,South Georgia and the South Sandwich Islands,Latin America and the Caribbean
207,South Sudan,Sub-Saharan Africa
208,Spain,Southern Europe
209,Sri Lanka,Southern Asia
210,Sudan,Northern Africa
211,Suriname,Latin America and the Caribbean
212,Svalbard and Jan Mayen,Northern Europe
213,Swaziland,Sub-Saharan Africa
214,Sweden,Northern Europe
215,Switzerland,Western Europe
216,Syrian Arab Republic,Western Asia
217,"Taiwan, Province of China",Eastern Asia
218,Tajikistan,Central Asia
219,"Tanzania, United Republic of",Sub-Saharan Africa
220,Thailand,South-eastern Asia
221,Timor-Leste,South-eastern Asia
222,Togo,Sub-Saharan Africa
223,Tokelau,Polynesia
224,Tonga,Polynesia
225,Trinidad and Tobago,Latin America and the Caribbean
226,Tunisia,Northern Africa
227,Turkey,Western Asia
228,Turkmenistan,Central Asia
229,Turks and Caicos Islands,Latin America and the Caribbean
230,Tuvalu,Polynesia
231,Uganda,Sub-Saharan Africa
232,Ukraine,Eastern Europe
233,United Arab Emirates,Western Asia
234,United Kingdom of Great Britain and Northern Ireland,Northern Europe
235,United States of America,Northern America
236,United States Minor Outlying Islands,Micronesia
237,Uruguay,Latin America and the Caribbean
238,Uzbekistan,Central Asia
239,Vanuatu,Melanesia
240,Venezuela (Bolivarian Republic of),Latin America and the Caribbean
241,Viet Nam,South-eastern Asia
242,Virgin Islands (British),Latin America and the Caribbean
243,Virgin Islands (U.S.),Latin America and the Caribbean
244,Wallis and Futuna,Polynesia
245,Western Sahara,Northern Africa
246,Yemen,Western Asia
247,Zambia,Sub-Saharan Africa
248,Zimbabwe,Sub-Saharan Africa
